item,adjective,form
q_21198,improvident,A
q_21199,cocksure,A
q_21200,empirical,A
q_21201,audacious,A
q_21202,inhospitable,A
q_21203,miserable,A
q_21204,high-spirited,A
q_21205,lustful,A
q_21206,dominant,A
q_21207,clean,A
q_21208,well-liked,A
q_21209,forceful,A
q_21210,opportunistic,A
q_21211,ungracious,A
q_21212,cursed,A
q_21213,subdued,A
q_21214,chaste,A
q_21215,unfearing,A
q_21216,gloomy,A
q_21217,overtolerant,A
q_21218,unsure,A
q_21219,unbridled,A
q_21220,roguish,A
q_21221,commandeering,A
q_21222,scared,A
q_21223,wordy,A
q_21224,overrigorous,A
q_21225,bourgeois,A
q_21226,cold-blooded,A
q_21227,uncreative,A
q_21228,innovative,A
q_21229,ungovernable,A
q_21230,overrigid,A
q_21231,abstruse,A
q_21232,regular,A
q_21233,reserved,A
q_21234,long-suffering,A
q_21235,overcareful,A
q_21236,iron-hearted,A
q_21237,deferential,A
q_21238,quick-witted,A
q_21239,know-it-all,A
q_21240,instructible,A
q_21241,gutsy,A
q_21242,flammable,A
q_21243,shameless,A
q_21244,spare,A
q_21245,overrash,A
q_21246,faultfinding,A
q_21247,worldly-wise,A
q_21248,dastardly,A
q_21249,misanthropic,A
q_21250,plodding,A
q_21251,hasty,A
q_21252,messy,A
q_21253,overcautious,A
q_21254,smug,A
q_21255,peacemaking,A
q_21256,cold-hearted,A
q_21257,reliant,A
q_21258,serious,A
q_21259,conceptual,A
q_21260,old,A
q_21261,forlorn,A
q_21262,grumpy,A
q_21263,enigmatic,A
q_21264,unfrugal,A
q_21265,hardy,A
q_21266,defenseless,A
q_21267,generous,A
q_21268,persecutive,A
q_21269,admirable,A
q_21270,profane,A
q_21271,prankish,A
q_21272,affectionate,A
q_21273,overintense,A
q_21274,unvigorous,A
q_21275,evil,A
q_21276,radical,A
q_21277,ambivalent,A
q_21278,gourmet,A
q_21279,matchmaking,A
q_21280,worthy,A
q_21281,buoyant,A
q_21282,irrational,A
q_21283,academic,A
q_21284,uncandid,A
q_21285,talkative,A
q_21286,ebullient,A
q_21287,predictable,A
q_21289,ungentle,A
q_21290,acquisitive,A
q_21291,masculine,A
q_21292,tactful,A
q_21293,principled,A
q_21294,opaque,A
q_21295,unsuspecting,A
q_21296,austere,A
q_21297,indelicate,A
q_21298,resentful,A
q_21299,open-hearted,A
q_21300,torpid,A
q_21301,preaching,A
q_21302,denouncing,A
q_21303,jaded,A
q_21304,sisterly,A
q_21305,impressible,A
q_21306,lustless,A
q_21307,devoted,A
q_21308,afraid,A
q_21309,disregardful,A
q_21310,utilitarian,A
q_21311,unheedful,A
q_21312,foolhardy,A
q_21313,intemperate,A
q_21314,inert,A
q_21315,overwary,A
q_21316,unceremonious,A
q_21317,unshrinking,A
q_21318,disobedient,A
q_21319,businesslike,A
q_21320,short,A
q_21321,experienced,A
q_21322,inexcitable,A
q_21323,logical,A
q_21324,yammering,A
q_21325,flamboyant,A
q_21326,impressive,A
q_21327,unaffected,A
q_21328,valorous,A
q_21329,precise,A
q_21330,unalterable,A
q_21331,insistent,A
q_21332,charitable,A
q_21333,jabbering,A
q_21334,incompetent,A
q_21335,economical,A
q_21336,extravagant,A
q_21337,untoward,A
q_21338,self-supporting,A
q_21339,transparent,A
q_21340,abstemious,A
q_21341,obedient,A
q_21342,unsensual,A
q_21343,stringent,A
q_21344,life-weary,A
q_21345,conscienceless,A
q_21346,chameleonlike,A
q_21347,accepting,A
q_21348,randy,A
q_21349,improvising,A
q_21350,persecuting,A
q_21351,sensation-seeking,A
q_21352,censorial,A
q_21353,responsive,A
q_21354,warlike,A
q_21355,unfluent,A
q_21356,unpatriotic,A
q_21357,overcompassionate,A
q_21358,intuitive,A
q_21359,wolfish,A
q_21360,giving,A
q_21361,interested,A
q_21362,crafty,A
q_21363,stuck-up,A
q_21364,angry,A
q_21365,abstinent,A
q_21366,obscene,A
q_21367,unexacting,A
q_21368,overpatient,A
q_21369,unintelligent,A
q_21370,authentic,A
q_21371,fair-minded,A
q_21372,inane,A
q_21373,dogmatic,A
q_21374,learned,A
q_21375,unjealous,A
q_21376,artificial,A
q_21377,efficient,A
q_21378,compatible,A
q_21379,indecent,A
q_21380,glamorous,A
q_21381,despairing,A
q_21382,niggardly,A
q_21383,invidious,A
q_21384,sentimental,A
q_21385,dim,A
q_21386,overbrave,A
q_21387,jaunty,A
q_21388,bilious,A
q_21389,unpardoning,A
q_21390,untaught,A
q_21391,vulnerable,A
q_21392,discerning,A
q_21393,simple,A
q_21394,abrupt,A
q_21395,unhappy,A
q_21396,rigorous,A
q_21397,brawlsome,A
q_21398,dogged,A
q_21399,aesthetic,A
q_21400,crabby,A
q_21401,unvindictive,A
q_21402,distrustful,A
q_21403,balky,A
q_21404,disguiseless,A
q_21405,rumpled,A
q_21406,nutty,A
q_21407,vital,A
q_21408,unanchored,A
q_21410,nonvolatile,A
q_21411,flattering,A
q_21412,insincere,A
q_21413,vegetative,A
q_21414,indeliberate,A
q_21415,plucky,A
q_21416,obstinate,A
q_21417,flexible,A
q_21418,unchivalrous,A
q_21419,calm,A
q_21420,perceiving,A
q_21421,noticeable,A
q_21422,composed,A
q_21423,elfish,A
q_21424,callous,A
q_21425,senseless,A
q_21426,procrastinating,A
q_21427,depressed,A
q_21428,good-hearted,A
q_21429,violent,A
q_21430,chatty,A
q_21431,unfocused,A
q_21432,lucky,A
q_21433,hapless,A
q_21434,nasty,A
q_21435,vindictive,A
q_21436,fretful,A
q_21437,individualistic,A
q_21438,fearless,A
q_21439,cerebral,A
q_21440,complicated,A
q_21441,goatish,A
q_21442,truthful,A
q_21443,polished,A
q_21444,unreproachful,A
q_21445,preachy,A
q_21446,incoherent,A
q_21447,unrestrainable,A
q_21448,moony,A
q_21449,nervy,A
q_21450,peppery,A
q_21451,purposive,A
q_21452,cantankerous,A
q_21453,agitable,A
q_21454,unspontaneous,A
q_21455,agitative,A
q_21456,humorous,A
q_21457,uninterested,A
q_21458,overstudious,A
q_21459,evangelistic,A
q_21460,mocking,A
q_21461,well-to-do,A
q_21462,exaggerative,A
q_21463,uncouth,A
q_21464,conspiring,A
q_21465,unsteadfast,A
q_21466,sedentary,A
q_21467,unperceptive,A
q_21468,silly,A
q_21469,uncheery,A
q_21470,unhardened,A
q_21471,nervous,A
q_21472,oversubtle,A
q_21473,steadying,A
q_21474,unimpassionate,A
q_21475,objective,A
q_21476,supersensitive,A
q_21477,happy,A
q_21478,self-revealing,A
q_21479,infantile,A
q_21480,ungainly,A
q_21481,halfhearted,A
q_21482,obliging,A
q_21483,self-actualized,A
q_21484,contradictious,A
q_21485,courageous,A
q_21486,engaging,A
q_21487,nonunderstanding,A
q_21488,egocentric,A
q_21489,cold,A
q_21490,spineless,A
q_21491,unprovincial,A
q_21492,congenial,A
q_21493,gentle,A
q_21494,quaint,A
q_21495,unconfiding,A
q_21496,free-thinking,A
q_21497,self-examining,A
q_21498,unpunctual,A
q_21499,faltering,A
q_21500,extreme,A
q_21501,sardonic,A
q_21502,unscientific,A
q_21503,thin-skinned,A
q_21504,undevious,A
q_21505,untrustworthy,A
q_21506,brisk,A
q_21507,tough,A
q_21508,eagle-eyed,A
q_21509,manly,A
q_21510,embarrassed,A
q_21511,personable,A
q_21512,charismatic,A
q_21513,retarded,A
q_21514,lonesome,A
q_21515,attentive,A
q_21516,practical,A
q_21517,good-looking,A
q_21518,moralizing,A
q_21519,overcunning,A
q_21520,impractical,A
q_21521,good-tempered,A
q_21522,unpersuasive,A
q_21523,grandiloquent,A
q_21524,fatalistic,A
q_21525,ultrasensual,A
q_21526,sloppy,A
q_21527,hot-tempered,A
q_21528,overfierce,A
q_21529,overkind,A
q_21530,ill-natured,A
q_21531,lackadaisical,A
q_21532,indignant,A
q_21533,fidgety,A
q_21534,thunderous,A
q_21535,sadistic,A
q_21536,artsy,A
q_21537,uneasy,A
q_21538,ultracritical,A
q_21539,uncomplaisant,A
q_21540,greasy,A
q_21541,girlish,A
q_21542,maladjusted,A
q_21543,uncareful,A
q_21544,unsophisticated,A
q_21545,feelingful,A
q_21546,unwitty,A
q_21547,caring,A
q_21548,irreverent,A
q_21549,bearish,A
q_21550,invariable,A
q_21551,alone,A
q_21552,venal,A
q_21553,uncontriving,A
q_21554,illiterate,A
q_21555,complacent,A
q_21556,unique,A
q_21557,unnatural,A
q_21558,self-assured,A
q_21559,good-for-nothing,A
q_21560,impassive,A
q_21561,cryptic,A
q_21562,employed,A
q_21563,servile,A
q_21564,retaliative,A
q_21565,short-tempered,A
q_21566,theoretical,A
q_21567,fantastical,A
q_21568,motherly,A
q_21569,shallow,A
q_21570,squeamish,A
q_21571,unwavering,A
q_21572,immature,A
q_21573,biased,A
q_21574,sturdy,A
q_21575,parsimonious,A
q_21576,cultured,A
q_21577,delightful,A
q_21578,deceptive,A
q_21579,vivacious,A
q_21580,foul-mouthed,A
q_21581,insubordinate,A
q_21582,scattered,A
q_21583,lonely,A
q_21584,peaceful,A
q_21585,well,A
q_21586,traitorous,A
q_21587,unearnest,A
q_21588,waggish,A
q_21589,ill-bred,A
q_21590,disabled,A
q_21591,exceptional,A
q_21592,well-read,A
q_21593,assiduous,A
q_21594,mulish,A
q_21595,melancholy,A
q_21596,sleek,A
q_21597,pontifical,A
q_21598,matriarchal,A
q_21599,selfless,A
q_21600,introverted,A
q_21601,lackluster,A
q_21602,unliterary,A
q_21603,unexpansive,A
q_21604,altruistic,A
q_21605,tense,A
q_21606,frisky,A
q_21607,unmusical,A
q_21608,agitated,A
q_21609,chic,A
q_21610,bored,A
q_21611,courteous,A
q_21612,dubious,A
q_21613,honorable,A
q_21614,heavy-handed,A
q_21615,empathetic,A
q_21616,tidy,A
q_21617,soothing,A
q_21618,subjective,A
q_21619,depressive,A
q_21620,upset,A
q_21621,overslow,A
q_21622,unsuspicious,A
q_21623,militaristic,A
q_21624,tight-lipped,A
q_21625,sulky,A
q_21626,witless,A
q_21627,inflexible,A
q_21628,complaining,A
q_21629,juvenile,A
q_21630,transgressive,A
q_21631,unaspiring,A
q_21632,guarded,A
q_21633,mature,A
q_21634,coercing,A
q_21635,unvisioned,A
q_21636,paranoid,A
q_21637,unassuming,A
q_21638,subversive,A
q_21639,unmovable,A
q_21640,easygoing,A
q_21641,implacable,A
q_21642,unforgettable,A
q_21643,emphatic,A
q_21644,ultrafastidious,A
q_21645,average,A
q_21646,assertive,A
q_21647,money-grubbing,A
q_21648,unreceptive,A
q_21649,puckish,A
q_21650,run-down,A
q_21651,unassured,A
q_21652,undespairing,A
q_21653,changeable,A
q_21654,effervescent,A
q_21655,overconscientious,A
q_21656,guiltless,A
q_21657,unrefined,A
q_21658,conceding,A
q_21659,passionate,A
q_21660,unvarying,A
q_21661,uplifting,A
q_21662,doltish,A
q_21663,dizzying,A
q_21664,inconsiderate,A
q_21665,tenacious,A
q_21666,vivid,A
q_21667,snippy,A
q_21668,unvain,A
q_21669,unrevealing,A
q_21670,nationalistic,A
q_21671,ill-fated,A
q_21672,unmirthful,A
q_21673,poised,A
q_21674,lily-livered,A
q_21675,stylish,A
q_21676,ungrateful,A
q_21677,pitiless,A
q_21678,disappointed,A
q_21679,scholastic,A
q_21680,dithering,A
q_21681,exacting,A
q_21682,precocious,A
q_21683,vigorous,A
q_21684,gentle-minded,A
q_21685,law-abiding,A
q_21686,stiff,A
q_21687,amenable,A
q_21688,rapacious,A
q_21689,impassioned,A
q_21690,incompliant,A
q_21691,timid,A
q_21692,complying,A
q_21693,unforbearing,A
q_21694,lovable,A
q_21695,clumsy,A
q_21696,hard-nosed,A
q_21697,doubting,A
q_21698,accomplished,A
q_21699,self-interested,A
q_21700,worldly-minded,A
q_21701,oversensitive,A
q_21702,grumbly,A
q_21703,unsparing,A
q_21704,curt,A
q_21705,ungiving,A
q_21706,startling,A
q_21707,distant,A
q_21708,sniveling,A
q_21709,bedraggled,A
q_21710,troubled,A
q_21711,valiant,A
q_21712,extraverted,A
q_21713,deliberate,A
q_21714,overimaginative,A
q_21715,protective,A
q_21716,outstanding,A
q_21717,moldable,A
q_21718,artistic,A
q_21719,pleased,A
q_21720,salacious,A
q_21721,forgiving,A
q_21722,thankless,A
q_21723,pleasant,A
q_21724,doctrinaire,A
q_21725,inconsistent,A
q_21726,moronic,A
q_21727,vacuous,A
q_21728,unchaste,A
q_21729,goading,A
q_21730,unmasculine,A
q_21731,calculating,A
q_21732,unholy,A
q_21733,unreflective,A
q_21734,earthly-wise,A
q_21735,inhibited,A
q_21736,pithy,A
q_21737,overemphatic,A
q_21738,ruthless,A
q_21739,unthorough,A
q_21740,influential,A
q_21741,fiendish,A
q_21742,civilized,A
q_21743,verbal,A
q_21744,cheerful,A
q_21745,genuine,A
q_21746,wishful,A
q_21747,boisterous,A
q_21748,rollicking,A
q_21749,surprised,A
q_21750,overcharitable,A
q_21751,self-punishing,A
q_21752,gallant,A
q_21753,quirky,A
q_21754,overactive,A
q_21755,indolent,A
q_21756,tawdry,A
q_21757,disgusted,A
q_21758,eccentric,A
q_21759,inexhaustible,A
q_21760,durable,A
q_21761,gaudy,A
q_21762,clubby,A
q_21763,comradely,A
q_21764,inconstant,A
q_21765,unadulterous,A
q_21766,phony,A
q_21767,fatherly,A
q_21768,mannerly,A
q_21769,dowdy,A
q_21770,unswerving,A
q_21771,untidy,A
q_21772,pouty,A
q_21773,fascinating,A
q_21774,raucous,A
q_21775,unassertive,A
q_21776,bigoted,A
q_21777,fretless,A
q_21778,disillusioned,A
q_21779,interfering,A
q_21780,anticipative,A
q_21781,presentable,A
q_21782,miserly,A
q_21783,presumptuous,A
q_21784,digressive,A
q_21785,heartsick,A
q_21786,self-regulating,A
q_21787,substantive,A
q_21788,ineloquent,A
q_21789,elderly,A
q_21790,big-hearted,A
q_21791,laid-back,A
q_21792,ultraintellectual,A
q_21793,unlucky,A
q_21794,unwarlike,A
q_21795,unoriginal,A
q_21796,overcredulous,A
q_21797,forcible,A
q_21798,exciting,A
q_21799,hilarious,A
q_21800,obsequious,A
q_21801,fancy,A
q_21802,responsible,A
q_21803,chattering,A
q_21804,prosperous,A
q_21805,respectable,A
q_21806,attention-seeking,A
q_21807,curious,A
q_21808,gullible,A
q_21809,free,A
q_21810,attractive,A
q_21811,stuffy,A
q_21812,unflinching,A
q_21813,incurious,A
q_21814,trustworthy,A
q_21815,temperamental,A
q_21816,uncompromising,A
q_21817,aweless,A
q_21818,erratic,A
q_21819,empowering,A
q_21820,unromantic,A
q_21821,salubrious,A
q_21822,magisterial,A
q_21823,unkind,A
q_21824,feeble-minded,A
q_21825,experimenting,A
q_21826,gritty,A
q_21827,stupid,A
q_21828,unscholarly,A
q_21829,empathic,A
q_21830,unaccessible,A
q_21831,vituperative,A
q_21832,dutiful,A
q_21833,ticklish,A
q_21834,testy,A
q_21835,disobliging,A
q_21836,unenvious,A
q_21837,histrionic,A
q_21838,unprincipled,A
q_21839,uncertain,A
q_21840,visionary,A
q_21841,acid,A
q_21842,picky,A
q_21843,active,A
q_21844,straightforward,A
q_21845,serious-minded,A
q_21846,broad-minded,A
q_21847,cynical,A
q_21848,unemphatic,A
q_21849,self-consistent,A
q_21850,gentlemanlike,A
q_21851,unschooled,A
q_21852,unsportsmanlike,A
q_21853,unrelaxing,A
q_21854,temptable,A
q_21855,quarrelsome,A
q_21856,pathetic,A
q_21857,strong,A
q_21858,firm,A
q_21859,subservient,A
q_21860,worriless,A
q_21861,fluid,A
q_21862,savage,A
q_21863,lukewarm,A
q_21864,unlively,A
q_21865,flaky,A
q_21866,persistent,A
q_21867,ponderous,A
q_21868,self-defensive,A
q_21869,destructive,A
q_21870,coy,A
q_21871,redoubtable,A
q_21872,exploitative,A
q_21873,vain,A
q_21874,pretenseless,A
q_21875,unimpeachable,A
q_21876,independent,A
q_21877,nonbelligerent,A
q_21878,malevolent,A
q_21879,edgy,A
q_21880,uncheerful,A
q_21881,bendable,A
q_21882,lewd,A
q_21883,heedless,A
q_21884,feelingless,A
q_21885,rigid,A
q_21886,unconstrainable,A
q_21887,cheerless,A
q_21888,fair,A
q_21889,awake,A
q_21890,ignorant,A
q_21891,tiny,A
q_21892,grouchy,A
q_21893,strange,A
q_21894,unintelligible,A
q_21895,unvacillating,A
q_21896,mathematical,A
q_21897,sneering,A
q_21898,scholarly,A
q_21899,despondent,A
q_21900,sophomoric,A
q_21901,slender,A
q_21902,bragging,A
q_21903,complaisant,A
q_21904,hearty,A
q_21905,garrulous,A
q_21906,disloyal,A
q_21907,disclosing,A
q_21908,quick,A
q_21909,cutthroat,A
q_21910,adaptive,A
q_21912,tranquil,A
q_21913,uneager,A
q_21914,unpreaching,A
q_21915,careworn,A
q_21916,dawdling,A
q_21917,religious,A
q_21918,meticulous,A
q_21919,nonvariant,A
q_21920,unbold,A
q_21921,just,A
q_21922,double-crossing,A
q_21923,hostile,A
q_21924,unprofessional,A
q_21925,gloating,A
q_21926,noncoercive,A
q_21927,unwily,A
q_21928,querulous,A
q_21929,antagonizing,A
q_21930,groveling,A
q_21931,mussy,A
q_21932,hopeful,A
q_21933,clandestine,A
q_21934,lamblike,A
q_21935,hypocritical,A
q_21936,bristly,A
q_21937,intimate,A
q_21938,self-seeking,A
q_21939,stolid,A
q_21940,self-educated,A
q_21941,underhanded,A
q_21942,sympathetic,A
q_21943,wheedling,A
q_21944,broody,A
q_21945,spontaneous,A
q_21946,open-ended,A
q_21947,perturbable,A
q_21948,careless,A
q_21949,ethnocentric,A
q_21950,indiscreet,A
q_21951,curmudgeonly,A
q_21952,berating,A
q_21953,murderous,A
q_21954,swanky,A
q_21955,self-righteous,A
q_21956,fancy-free,A
q_21957,polemical,A
q_21958,slinking,A
q_21959,noncommittal,A
q_21960,pleasure-seeking,A
q_21961,self-critical,A
q_21962,credulous,A
q_21963,overcurious,A
q_21964,irritated,A
q_21965,incendiary,A
q_21966,frightening,A
q_21967,crooked,A
q_21968,disturbed,A
q_21969,live,A
q_21970,devious,A
q_21971,tired,A
q_21972,credible,A
q_21973,high-handed,A
q_21974,unwilling,A
q_21975,statistical,A
q_21976,undespondent,A
q_21977,mendacious,A
q_21978,dark,A
q_21979,imprudent,A
q_21980,loose,A
q_21981,broad-spoken,A
q_21982,cool,A
q_21983,overmerry,A
q_21984,breathless,A
q_21985,fervent,A
q_21986,concerned,A
q_21987,hypersensual,A
q_21988,tacky,A
q_21989,patronizing,A
q_21990,unimpressible,A
q_21991,bad,A
q_21992,undefeatable,A
q_21993,untrustful,A
q_21994,aloof,A
q_21995,unwasteful,A
q_21996,intolerant,A
q_21997,satirical,A
q_21998,acerbic,A
q_21999,important,A
q_22000,speedy,A
q_22001,untutored,A
q_22002,prurient,A
q_22003,grave,A
q_22004,perspectiveless,A
q_22005,middle-aged,A
q_22006,surprising,A
q_22007,pooh-poohing,A
q_22008,insensuous,A
q_22009,competitive,A
q_22010,terse,A
q_22011,harebrained,A
q_22012,unambitious,A
q_22013,elegant,A
q_22014,antagonistic,A
q_22015,hard,A
q_22016,unextraverted,A
q_22017,unreligious,A
q_22018,divulging,A
q_22019,desultory,A
q_22020,able,A
q_22021,confused,A
q_22022,skilled,A
q_22023,self-taught,A
q_22024,undramatic,A
q_22025,changeless,A
q_22026,obtuse,A
q_22027,ambitious,A
q_22028,pusillanimous,A
q_22029,self-denying,A
q_22030,thoughtful,A
q_22031,mendicant,A
q_22032,neighborly,A
q_22033,self-deprecating,A
q_22034,merciless,A
q_22035,cunning,A
q_22036,demonstrative,A
q_22037,nonreligious,A
q_22038,venturesome,A
q_22039,hypersensitive,A
q_22040,yielding,A
q_22041,truthless,A
q_22042,whiny,A
q_22043,unpopular,A
q_22044,unaffable,A
q_22045,trendy,A
q_22046,motley,A
q_22047,lively,A
q_22048,forthright,A
q_22049,admonitory,A
q_22050,gruff,A
q_22051,little,A
q_22052,expectant,A
q_22053,insinuating,A
q_22054,pessimistic,A
q_22055,pious,A
q_22056,corrupt,A
q_22057,gossipy,A
q_22058,aimless,A
q_22059,untheatrical,A
q_22060,highbrow,A
q_22061,paternal,A
q_22062,loose-tongued,A
q_22063,unpretending,A
q_22064,thundering,A
q_22065,natural,A
q_22066,pigheaded,A
q_22067,contrary-minded,A
q_22069,benign,A
q_22070,callow,A
q_22071,unsly,A
q_22072,tremulous,A
q_22073,snobbish,A
q_22074,prudent,A
q_22075,self-doubting,A
q_22076,bullish,A
q_22077,saccharine,A
q_22078,self-willed,A
q_22079,unpitying,A
q_22080,unladylike,A
q_22081,worried,A
q_22082,unstudied,A
q_22083,frustrating,A
q_22084,neglecting,A
q_22085,pragmatic,A
q_22086,sexy,A
q_22087,opinionated,A
q_22088,narrow-minded,A
q_22089,optimistic,A
q_22090,humble,A
q_22091,insensate,A
q_22092,planful,A
q_22093,untiring,A
q_22094,volcanic,A
q_22095,fiery,A
q_22096,rootless,A
q_22097,arbitrary,A
q_22098,lowbrow,A
q_22099,mean,A
q_22100,rude,A
q_22101,great-hearted,A
q_22102,narrow,A
q_22103,unblushing,A
q_22104,saucy,A
q_22105,indecisive,A
q_22106,catty,A
q_22107,trustful,A
q_22108,uncomplaining,A
q_22109,neat,A
q_22110,close-fisted,A
q_22111,snooty,A
q_22112,dapper,A
q_22113,creative,A
q_22114,uninquiring,A
q_22115,unforgiving,A
q_22116,minimizing,A
q_22117,placating,A
q_22118,spying,A
q_22119,unwary,A
q_22120,jocular,A
q_22121,respected,A
q_22122,evasive,A
q_22123,severe,A
q_22124,irresponsible,A
q_22125,penetrative,A
q_22126,unthrifty,A
q_22127,obstructive,A
q_22128,boyish,A
q_22129,selfish,A
q_22130,blunt,A
q_22131,peevish,A
q_22132,ultrareligious,A
q_22133,laconic,A
q_22134,nefarious,A
q_22135,spiritless,A
q_22136,immoral,A
q_22137,inconsolable,A
q_22138,social,A
q_22139,hysterical,A
q_22140,needy,A
q_22141,humorless,A
q_22142,unwholesome,A
q_22143,jazzy,A
q_22144,insatiable,A
q_22145,equalitarian,A
q_22146,saintly,A
q_22147,prophetic,A
q_22148,prudish,A
q_22149,moral,A
q_22150,belligerent,A
q_22151,churlish,A
q_22152,inward,A
q_22153,literary,A
q_22154,scoffing,A
q_22155,snarling,A
q_22156,disorganized,A
q_22157,malicious,A
q_22158,forward,A
q_22159,stifling,A
q_22160,disruptive,A
q_22161,exhaustible,A
q_22162,pert,A
q_22163,disinterested,A
q_22164,overelegant,A
q_22165,frenzied,A
q_22166,nymphomaniacal,A
q_22167,remarkable,A
q_22168,helpless,A
q_22170,heedful,A
q_22171,foresightless,A
q_22172,wily,A
q_22173,slapdash,A
q_22174,slick,A
q_22175,effective,A
q_22176,pioneering,A
q_22177,unorthodox,A
q_22178,supercilious,A
q_22179,rushed,A
q_22180,lax,A
q_22181,greedy,A
q_22182,brutish,A
q_22183,discontented,A
q_22184,inconfident,A
q_22185,boozy,A
q_22186,humiliating,A
q_22187,ladylike,A
q_22188,untamed,A
q_22189,inconvincible,A
q_22190,wary,A
q_22191,lazy,A
q_22192,healthful,A
q_22193,mild-hearted,A
q_22194,unfriendly,A
q_22195,unpurposed,A
q_22196,contained,A
q_22197,pompous,A
q_22198,incontrollable,A
q_22199,ostentatious,A
q_22200,loving,A
q_22201,competent,A
q_22202,resolved,A
q_22203,nonexplosive,A
q_22204,powerful,A
q_22205,short-spoken,A
q_22206,morose,A
q_22207,sleepy,A
q_22208,unindulgent,A
q_22209,negativistic,A
q_22210,suggestible,A
q_22211,overrelaxed,A
q_22212,hurtful,A
q_22213,disapproving,A
q_22214,imperturbable,A
q_22215,inspirational,A
q_22216,buoying,A
q_22217,overprompt,A
q_22218,overspeedy,A
q_22219,obsessive,A
q_22220,unaggressive,A
q_22221,sensuous,A
q_22222,offensive,A
q_22223,obeying,A
q_22224,emotional,A
q_22225,contentious,A
q_22226,outspoken,A
q_22227,verbose,A
q_22228,touchy,A
q_22229,virtuous,A
q_22230,shrewd,A
q_22231,aggressive,A
q_22232,serpentine,A
q_22233,holier-than-thou,A
q_22234,playful,A
q_22235,pedagogical,A
q_22236,uncourtly,A
q_22237,overneat,A
q_22238,unregulated,A
q_22239,productive,A
q_22240,erotic,A
q_22241,undevout,A
q_22242,mercenary,A
q_22243,perverse,A
q_22244,gluttonous,A
q_22245,positive,A
q_22246,seclusive,A
q_22247,doleful,A
q_22248,loudmouthed,A
q_22249,choosy,A
q_22250,constant,A
q_22251,rowdy,A
q_22252,convivial,A
q_22253,awkward,A
q_22254,determined,A
q_22255,refreshing,A
q_22256,cooperative,A
q_22257,vehement,A
q_22258,petulant,A
q_22259,anarchistic,A
q_22260,willing,A
q_22261,worshipful,A
q_22262,loud,A
q_22263,brave,A
q_22264,uncongenial,A
q_22265,overtrusting,A
q_22266,rash,A
q_22267,rakish,A
q_22268,overcasual,A
q_22269,scrappy,A
q_22270,inexplicit,A
q_22271,disheveled,A
q_22272,ingenuous,A
q_22273,excitable,A
q_22274,unfair,A
q_22275,ungregarious,A
q_22276,generative,A
q_22277,seductive,A
q_22278,dumb,A
q_22279,devil-may-care,A
q_22280,chummy,A
q_22281,moderate,A
q_22282,debonair,A
q_22283,diligent,A
q_22284,unelusive,A
q_22285,vengeful,A
q_22286,extroverted,A
q_22287,beneficent,A
q_22288,lecturing,A
q_22289,slim,A
q_22290,rough,A
q_22291,truculent,A
q_22292,undisappointable,A
q_22293,approachable,A
q_22294,tyrannical,A
q_22295,placid,A
q_22296,observant,A
q_22297,cajoling,A
q_22298,rough-and-ready,A
q_22299,steely,A
q_22300,intelligent,A
q_22301,corruptible,A
q_22302,cagey,A
q_22303,reassuring,A
q_22304,overbusy,A
q_22305,diminishing,A
q_22306,enterprising,A
q_22307,competitory,A
q_22308,doddering,A
q_22309,musical,A
q_22310,solemn,A
q_22311,manipulative,A
q_22312,leisurely,A
q_22313,inspired,A
q_22314,slow-witted,A
q_22315,imperceptive,A
q_22316,unpolitical,A
q_22317,guilt-free,A
q_22318,joyless,A
q_22319,healthy,A
q_22320,ethical,A
q_22321,alarmable,A
q_22322,affirmative,A
q_22323,domineering,A
q_22324,skillful,A
q_22325,wifely,A
q_22326,unversed,A
q_22327,sullen,A
q_22328,privileged,A
q_22329,self-confident,A
q_22330,illogical,A
q_22331,fraudulent,A
q_22332,apprehensive,A
q_22333,farseeing,A
q_22334,imprecise,A
q_22335,unvigilant,A
q_22336,loquacious,A
q_22337,teasing,A
q_22338,diplomatic,A
q_22339,adulatory,A
q_22340,flighty,A
q_22341,risque,A
q_22342,obdurate,A
q_22343,icy,A
q_22344,mad,A
q_22345,overviolent,A
q_22346,lion-hearted,A
q_22347,foxy,A
q_22348,bestial,A
q_22349,gracious,A
q_22350,odd,A
q_22351,direct,A
q_22352,undeviating,A
q_22353,degrading,A
q_22354,valuable,A
q_22355,unaccommodating,A
q_22356,snoopy,A
q_22357,impartial,A
q_22358,headstrong,A
q_22359,unenlightened,A
q_22360,quixotic,A
q_22361,inexact,A
q_22362,talented,A
q_22363,harsh,A
q_22364,unfaithful,A
q_22365,humiliated,A
q_22366,deceitful,A
q_22367,unexcitable,A
q_22368,loveless,A
q_22369,sultry,A
q_22370,unsearching,A
q_22371,inaccurate,A
q_22372,handicapped,A
q_22373,self-satisfied,A
q_22374,overwhelmed,A
q_22375,unfluctuating,A
q_22376,self-pitying,A
q_22377,unwise,A
q_22378,reticent,A
q_22379,brooding,A
q_22380,overbookish,A
q_22381,involved,A
q_22382,taciturn,A
q_22383,cautionary,A
q_22384,tricky,A
q_22385,remorseful,A
q_22386,inquisitorial,A
q_22387,unremitting,A
q_22388,unmild,A
q_22389,nonpersistent,A
q_22390,superior,A
q_22391,poor,A
q_22392,unsparkling,A
q_22393,unfeeling,A
q_22394,longing,A
q_22395,uncultured,A
q_22396,unreasonable,A
q_22397,profligate,A
q_22398,boastful,A
